customer_id,stratum,customer_type,domicile_country,operating_countries,products,channel,pep,adverse_media,prior_sar,ownership_opacity,expected_activity_intensity
CUST-000000,designed_medium,CORPORATE,DE,,trade_finance,FACE_TO_FACE,0,0,0,0.42,0.5
CUST-000001,designed_high,MSB,GB,MM,crypto,REMOTE,0,0,0,0.51,0.68
CUST-000002,designed_low,INDIVIDUAL,GB,,retail_deposit,FACE_TO_FACE,0,0,0,0.14,0.21
CUST-000003,designed_low,SMB,GB,,lending,FACE_TO_FACE,0,0,0,0.16,0.0
CUST-000004,designed_high,TRUST,US,PA,cash,REMOTE,0,0,0,0.55,0.94
CUST-000005,designed_low,INDIVIDUAL,US,,retail_deposit,FACE_TO_FACE,0,0,0,0.07,0.1
CUST-000006,designed_low,INDIVIDUAL,DE,,lending,FACE_TO_FACE,0,0,0,0.11,0.29
CUST-000007,designed_low,SMB,DE,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.18,0.11
CUST-000008,designed_low,INDIVIDUAL,CA,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.05,0.09
CUST-000009,designed_low,INDIVIDUAL,CA,,lending,FACE_TO_FACE,0,0,0,0.06,0.19
CUST-000010,designed_low,SMB,NL,,retail_deposit,FACE_TO_FACE,0,0,0,0.13,0.21
CUST-000011,designed_medium,CORPORATE,GB,,trade_finance,REMOTE,0,0,0,0.31,0.6
CUST-000012,designed_medium,TRUST,AU,,trade_finance,FACE_TO_FACE,0,0,0,0.44,0.42
CUST-000013,designed_low,SMB,AU,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.1,0.27
CUST-000014,designed_medium,CORPORATE,NL,,wire|trade_finance,REMOTE,0,0,0,0.47,0.42
CUST-000015,designed_low,INDIVIDUAL,GB,,lending,FACE_TO_FACE,0,0,0,0.02,0.01
CUST-000016,designed_low,INDIVIDUAL,DE,,lending,FACE_TO_FACE,0,0,0,0.12,0.12
CUST-000017,designed_medium,SMB,GB,,wire,REMOTE,0,0,0,0.43,0.4
CUST-000018,designed_low,INDIVIDUAL,US,,retail_deposit,FACE_TO_FACE,0,0,0,0.19,0.26
CUST-000019,designed_low,INDIVIDUAL,GB,,retail_deposit,FACE_TO_FACE,0,0,0,0.17,0.09
CUST-000020,designed_medium,TRUST,AU,RU,trade_finance,FACE_TO_FACE,0,0,0,0.38,0.45
CUST-000021,designed_low,SMB,NL,,retail_deposit,FACE_TO_FACE,0,0,0,0.01,0.26
CUST-000022,hard_high,CORPORATE,US,,trade_finance,FACE_TO_FACE,0,0,1,0.88,0.52
CUST-000023,designed_low,SMB,GB,,retail_deposit,FACE_TO_FACE,0,0,0,0.05,0.26
CUST-000024,designed_low,INDIVIDUAL,GB,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.14,0.21
CUST-000025,designed_low,SMB,US,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.09,0.07
CUST-000026,designed_low,INDIVIDUAL,GB,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.05,0.07
CUST-000027,designed_low,INDIVIDUAL,AU,,retail_deposit,FACE_TO_FACE,0,0,0,0.18,0.26
CUST-000028,designed_low,INDIVIDUAL,NL,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.1,0.16
CUST-000029,designed_medium,TRUST,GB,,private_banking,REMOTE,0,0,0,0.26,0.33
CUST-000030,designed_low,SMB,US,,lending,FACE_TO_FACE,0,0,0,0.17,0.02
CUST-000031,designed_medium,TRUST,CA,AE,wire|trade_finance,FACE_TO_FACE,0,0,0,0.27,0.36
CUST-000032,designed_low,SMB,AU,,lending,FACE_TO_FACE,0,0,0,0.09,0.26
CUST-000033,designed_low,INDIVIDUAL,CA,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.2,0.25
CUST-000034,hard_high,SHELL,US,,crypto,REMOTE,0,0,0,0.96,0.33
CUST-000035,designed_low,INDIVIDUAL,US,,lending,FACE_TO_FACE,0,0,0,0.19,0.24
CUST-000036,designed_low,SMB,AU,,retail_deposit,FACE_TO_FACE,0,0,0,0.06,0.29
CUST-000037,designed_medium,TRUST,CA,,wire,REMOTE,0,0,0,0.35,0.56
CUST-000038,designed_low,INDIVIDUAL,AU,,retail_deposit,FACE_TO_FACE,0,0,0,0.12,0.2
CUST-000039,designed_low,INDIVIDUAL,GB,,retail_deposit,FACE_TO_FACE,0,0,0,0.12,0.01
CUST-000040,designed_low,SMB,NL,,retail_deposit,FACE_TO_FACE,0,0,0,0.13,0.09
CUST-000041,designed_low,INDIVIDUAL,DE,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.06,0.09
CUST-000042,designed_medium,CORPORATE,CA,,wire,FACE_TO_FACE,0,0,0,0.35,0.34
CUST-000043,designed_low,INDIVIDUAL,AU,,lending,FACE_TO_FACE,0,0,0,0.06,0.13
CUST-000044,designed_low,SMB,GB,,retail_deposit|lending,FACE_TO_FACE,0,0,0,0.11,0.2
CUST-000045,designed_medium,TRUST,CA,RU,wire,FACE_TO_FACE,0,0,0,0.42,0.35
CUST-000046,designed_low,INDIVIDUAL,DE,,lending,FACE_TO_FACE,0,0,0,0.04,0.19
