code,name,stratum,cpi_score,basel_score,wgi_rule_of_law_pct,wgi_control_corruption_pct,secrecy_score,organized_crime_score,terrorism_score,instability_score,comprehensive_sanctions,fatf_blacklist,fatf_greylist,eu_high_risk,incsr_primary_concern,missing
J0016,Jurisdiction 0016,designed_low,82.5,1.3,87.9,92.8,14.0,18.2,12.9,29.1,0,0,0,0,0,
J0359,Jurisdiction 0359,designed_medium,56.8,4.88,55.9,54.3,51.0,45.8,32.0,32.7,0,0,0,0,0,
J0309,Jurisdiction 0309,designed_medium,53.4,4.08,47.0,50.4,45.3,43.6,31.4,31.7,0,0,0,0,0,
J0002,Jurisdiction 0002,designed_low,77.7,2.44,85.8,87.8,26.8,15.5,10.1,12.0,0,0,0,0,0,organized_crime
J0492,Jurisdiction 0492,hard_high,53.4,3.38,49.2,45.8,43.6,46.6,27.9,36.5,0,0,0,0,1,
J0529,Jurisdiction 0529,hard_high,62.4,4.47,60.8,47.0,34.1,30.6,10.5,43.7,0,0,0,1,0,
J0170,Jurisdiction 0170,designed_low,76.2,1.18,77.6,87.7,33.9,25.3,19.4,29.7,0,0,0,0,0,
J0147,Jurisdiction 0147,designed_low,83.9,2.43,77.2,76.0,26.6,20.6,18.2,23.0,0,0,0,0,0,
J0452,Jurisdiction 0452,designed_high,30.2,7.14,13.2,25.8,80.9,62.7,31.2,71.6,0,0,0,0,0,
J0247,Jurisdiction 0247,designed_medium,52.2,3.99,45.6,52.0,48.7,48.1,29.5,28.2,0,0,0,0,0,
J0371,Jurisdiction 0371,designed_high,35.2,8.11,8.5,15.4,85.6,60.7,30.8,68.2,0,0,0,0,0,
J0440,Jurisdiction 0440,designed_high,29.8,7.33,12.4,26.5,84.0,71.1,32.5,63.6,0,0,0,0,0,
J0275,Jurisdiction 0275,designed_medium,52.6,4.38,56.7,47.2,42.8,49.4,31.7,40.2,0,0,0,0,0,
J0282,Jurisdiction 0282,designed_medium,59.9,5.44,59.9,47.4,53.7,49.8,15.7,34.5,0,0,0,0,0,
J0302,Jurisdiction 0302,designed_medium,59.7,5.52,45.2,50.4,43.1,49.2,19.9,38.0,0,0,0,0,0,
J0085,Jurisdiction 0085,designed_low,74.8,1.64,76.8,78.3,31.1,17.1,2.5,20.8,0,0,0,0,0,
J0133,Jurisdiction 0133,designed_low,79.8,2.05,76.2,81.6,19.6,7.0,17.7,23.6,0,0,0,0,0,
J0194,Jurisdiction 0194,designed_medium,49.2,4.99,53.5,47.6,41.1,50.4,20.2,34.4,0,0,0,0,0,
J0402,Jurisdiction 0402,designed_high,21.9,7.41,17.3,20.9,76.0,73.2,50.2,58.1,0,0,0,0,0,
J0443,Jurisdiction 0443,designed_high,30.9,7.12,18.9,31.0,78.1,66.6,63.8,67.4,0,0,0,0,0,
J0216,Jurisdiction 0216,designed_medium,57.9,5.43,50.8,54.3,49.9,43.7,25.8,34.3,0,0,0,0,0,
J0156,Jurisdiction 0156,designed_low,88.5,2.43,74.3,83.3,15.8,8.6,9.7,20.4,0,0,0,0,0,
J0252,Jurisdiction 0252,designed_medium,46.8,4.52,49.7,55.2,49.4,51.4,28.1,33.9,0,0,0,0,0,
J0534,Jurisdiction 0534,hard_high,56.7,4.48,60.1,44.8,32.4,37.1,25.8,41.6,0,0,0,0,1,
J0206,Jurisdiction 0206,designed_medium,57.7,5.41,58.9,51.3,39.6,46.0,17.3,30.5,0,0,0,0,0,
J0210,Jurisdiction 0210,designed_medium,50.7,4.79,52.5,51.7,50.0,37.9,18.5,41.6,0,0,0,0,0,
J0576,Jurisdiction 0576,hard_critical,52.7,4.27,39.6,36.3,55.9,47.7,27.6,55.8,1,0,0,0,0,
J0414,Jurisdiction 0414,designed_high,22.1,7.78,29.7,14.9,81.5,78.7,56.7,65.7,0,0,0,0,0,
J0183,Jurisdiction 0183,designed_medium,55.5,4.14,46.9,59.9,46.4,49.8,23.0,29.6,0,0,0,0,0,
J0263,Jurisdiction 0263,designed_medium,47.0,4.98,51.1,55.3,53.9,42.1,21.7,28.1,0,0,0,0,0,
J0319,Jurisdiction 0319,designed_medium,44.9,5.58,53.5,55.8,56.0,51.5,15.8,39.8,0,0,0,0,0,terrorism
J0005,Jurisdiction 0005,designed_low,88.2,1.87,78.0,73.5,25.9,24.3,19.7,26.4,0,0,0,0,0,
J0022,Jurisdiction 0022,designed_low,78.0,3.22,83.3,90.9,23.2,6.3,20.0,25.9,0,0,0,0,0,
J0532,Jurisdiction 0532,hard_high,50.5,4.54,50.1,48.1,33.9,47.1,17.9,36.3,0,0,0,1,0,
J0352,Jurisdiction 0352,designed_medium,44.5,4.47,54.7,45.2,53.7,44.6,20.3,30.9,0,0,0,0,0,
J0298,Jurisdiction 0298,designed_medium,48.2,5.56,55.3,50.9,47.2,35.0,29.5,31.0,0,0,0,0,0,
J0010,Jurisdiction 0010,designed_low,88.4,1.96,78.6,93.9,22.2,7.3,2.8,7.7,0,0,0,0,0,
J0050,Jurisdiction 0050,designed_low,87.0,3.14,83.0,92.0,20.7,9.0,17.5,16.3,0,0,0,0,0,
J0404,Jurisdiction 0404,designed_high,31.0,8.51,9.4,27.8,65.3,78.5,61.0,66.0,0,0,0,0,0,
J0261,Jurisdiction 0261,designed_medium,55.6,4.61,45.2,42.8,50.8,34.4,20.2,30.0,0,0,0,0,0,
J0271,Jurisdiction 0271,designed_medium,56.4,4.69,53.2,52.3,42.8,43.8,31.8,37.8,0,0,0,0,0,
J0163,Jurisdiction 0163,designed_low,79.4,1.45,88.5,80.1,29.1,11.7,3.5,15.6,0,0,0,0,0,
J0342,Jurisdiction 0342,designed_medium,46.0,4.56,61.8,49.8,56.0,45.3,29.0,32.6,0,0,0,0,0,
J0056,Jurisdiction 0056,designed_low,89.7,2.28,93.0,85.0,25.9,7.1,9.7,26.7,0,0,0,0,0,
J0410,Jurisdiction 0410,designed_high,36.1,7.61,20.3,23.5,79.6,72.5,34.1,62.5,0,0,0,0,0,
J0362,Jurisdiction 0362,designed_high,22.9,8.1,27.8,14.4,77.7,64.1,33.2,62.8,0,0,0,0,0,
J0110,Jurisdiction 0110,designed_low,88.2,2.57,91.5,85.5,32.5,12.0,14.4,10.4,0,0,0,0,0,
J0131,Jurisdiction 0131,designed_low,84.7,1.85,82.3,88.3,20.5,16.5,3.4,12.8,0,0,0,0,0,
J0014,Jurisdiction 0014,designed_low,80.0,1.39,94.0,92.3,32.0,20.0,10.8,7.8,0,0,0,0,0,
J0244,Jurisdiction 0244,designed_medium,54.1,5.21,52.1,46.1,48.0,40.8,17.3,38.5,0,0,0,0,0,
J0498,Jurisdiction 0498,hard_high,54.2,3.84,47.9,57.2,31.0,46.8,13.2,24.6,0,0,0,0,1,
J0367,Jurisdiction 0367,designed_high,27.3,7.99,10.3,24.7,76.5,65.9,64.8,63.8,0,0,0,0,0,
J0584,Jurisdiction 0584,hard_critical,43.7,5.48,51.3,56.0,56.3,51.2,26.1,37.9,1,0,0,0,0,
J0421,Jurisdiction 0421,designed_high,32.1,7.89,13.5,31.7,82.1,58.8,36.6,72.2,0,0,0,0,0,
J0496,Jurisdiction 0496,hard_high,62.4,4.28,55.1,59.5,41.1,42.7,25.9,36.4,0,0,1,0,0,
J0064,Jurisdiction 0064,designed_low,85.7,3.32,79.7,89.8,22.9,17.1,9.8,23.3,0,0,0,0,0,
J0126,Jurisdiction 0126,designed_low,84.5,1.17,89.6,93.4,12.2,18.3,8.8,16.3,0,0,0,0,0,
J0600,Jurisdiction 0600,hard_critical,52.5,4.6,46.6,38.3,55.2,47.7,37.5,43.6,0,1,0,0,0,
J0098,Jurisdiction 0098,designed_low,81.4,2.6,92.9,82.2,16.9,18.7,3.3,28.6,0,0,0,0,0,
J0024,Jurisdiction 0024,designed_low,78.2,2.88,83.6,81.3,33.0,29.9,12.0,23.0,0,0,0,0,0,
J0548,Jurisdiction 0548,hard_high,58.2,3.83,56.5,63.9,37.8,30.6,20.1,34.4,0,0,0,0,1,
J0055,Jurisdiction 0055,designed_low,81.8,1.66,84.2,80.6,26.1,25.0,15.0,26.0,0,0,0,0,0,
J0549,Jurisdiction 0549,hard_high,62.2,4.97,50.7,49.8,34.3,30.4,18.4,39.9,0,0,0,0,1,
J0356,Jurisdiction 0356,designed_medium,49.6,4.25,52.4,54.2,52.8,41.1,15.8,37.2,0,0,0,0,0,
J0072,Jurisdiction 0072,designed_low,81.9,3.09,86.1,82.3,20.6,9.6,2.9,28.5,0,0,0,0,0,
J0397,Jurisdiction 0397,designed_high,36.4,7.18,11.5,19.9,78.2,75.2,40.8,75.3,0,0,0,0,0,
J0567,Jurisdiction 0567,hard_critical,53.7,4.21,50.2,37.6,46.6,47.2,31.0,39.2,0,1,0,0,0,
J0555,Jurisdiction 0555,hard_critical,51.8,5.68,50.6,44.6,53.1,55.3,34.5,49.5,1,0,0,0,0,
