product_id,stratum,hard_type,client_segment,target_jurisdictions,delivery_channel,asset_settlement_type,novelty_to_firm,third_party_dependency,data_privacy_surface,cash_intensity,anonymity_features,cross_border_reach,model_ai_reliance,involves_custody,sanctions_exposed_asset,new_client_segment,new_geography,anonymity_enhanced_instrument,bearer_negotiable_feature
NPA-000000,designed_medium,,RETAIL,JP,ONLINE,SECURITIES,ADJACENT,REGULATED,0.51,0.35,0,0.51,NONE,0,0,0,0,0,0
NPA-000001,designed_medium,,RETAIL,US,ONLINE,PHYSICAL,ADJACENT,REGULATED,0.46,0.32,0,0.45,ASSISTIVE,0,0,0,0,0,0
NPA-000002,designed_low,,INSTITUTIONAL,CA,BRANCH,SECURITIES,EXISTING,NONE,0.07,0.03,0,0.15,NONE,0,0,0,0,0,0
NPA-000003,designed_low,,INSTITUTIONAL,AU,BRANCH,SECURITIES,EXISTING,REGULATED,0.07,0.01,0,0.09,NONE,0,0,0,0,0,0
NPA-000004,designed_low,,INSTITUTIONAL,AU,ONLINE,SECURITIES,EXISTING,REGULATED,0.15,0.13,0,0.12,NONE,0,0,0,0,0,0
NPA-000005,designed_medium,,RETAIL,TR,ONLINE,SECURITIES,ADJACENT,REGULATED,0.55,0.26,0,0.36,ASSISTIVE,0,0,0,0,0,0
NPA-000006,designed_low,,INSTITUTIONAL,NZ,ONLINE,SECURITIES,EXISTING,REGULATED,0.23,0.1,0,0.12,NONE,0,0,0,0,0,0
NPA-000007,designed_low,,RETAIL,NL,BRANCH,SECURITIES,EXISTING,NONE,0.25,0.1,0,0.11,NONE,0,0,0,0,0,0
NPA-000008,designed_medium,,RETAIL,AE,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.27,0.42,0,0.4,ASSISTIVE,0,0,0,0,0,0
NPA-000009,designed_low,,INSTITUTIONAL,DE,ONLINE,SECURITIES,EXISTING,NONE,0.07,0.04,0,0.11,NONE,0,0,0,0,0,0
NPA-000010,designed_low,,INSTITUTIONAL,JP,BRANCH,SECURITIES,EXISTING,NONE,0.25,0.02,0,0.1,NONE,0,0,0,0,0,0
NPA-000011,designed_high,,NON_RESIDENT,TR,API,DERIVATIVES,NEW_CAPABILITY,UNREGULATED,0.65,0.59,1,0.71,ASSISTIVE,0,0,0,0,0,0
NPA-000012,designed_medium,,RETAIL,PA,ONLINE,DERIVATIVES,ADJACENT,REGULATED,0.4,0.29,0,0.53,ASSISTIVE,0,0,0,0,0,0
NPA-000013,prohibited,bearer_feature,RETAIL,FR,BRANCH,SECURITIES,EXISTING,NONE,0.19,0.05,0,0.38,NONE,0,0,0,0,0,1
NPA-000014,designed_low,,RETAIL,AU,BRANCH,SECURITIES,EXISTING,NONE,0.01,0.13,0,0.19,NONE,0,0,0,0,0,0
NPA-000015,designed_low,,INSTITUTIONAL,AU,ONLINE,FIAT,EXISTING,NONE,0.16,0.14,0,0.03,NONE,0,0,0,0,0,0
NPA-000016,designed_medium,,HNW,SG,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.6,0.34,0,0.35,ASSISTIVE,0,0,0,0,0,0
NPA-000017,designed_low,,RETAIL,AU,BRANCH,FIAT,EXISTING,REGULATED,0.14,0.09,0,0.0,NONE,0,0,0,0,0,0
NPA-000018,designed_medium,,RETAIL,GB,INTERMEDIATED,SECURITIES,ADJACENT,REGULATED,0.43,0.23,0,0.37,NONE,0,0,0,0,0,0
NPA-000019,designed_high,,UNREGULATED_ENTITY,TR,INTERMEDIATED,DERIVATIVES,NEW_CAPABILITY,UNREGULATED,0.54,0.61,1,0.67,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000020,hard_high,sanctions_asset,RETAIL,AU,BRANCH,SECURITIES,ADJACENT,NONE,0.12,0.06,0,0.18,ASSISTIVE,0,1,0,0,0,0
NPA-000021,designed_low,,RETAIL,AU,BRANCH,FIAT,EXISTING,NONE,0.16,0.08,0,0.0,NONE,0,0,0,0,0,0
NPA-000022,designed_low,,RETAIL,NL,BRANCH,SECURITIES,EXISTING,NONE,0.05,0.06,0,0.01,NONE,0,0,0,0,0,0
NPA-000023,designed_low,,INSTITUTIONAL,US,BRANCH,SECURITIES,EXISTING,NONE,0.17,0.11,0,0.16,NONE,0,0,0,0,0,0
NPA-000024,designed_medium,,INSTITUTIONAL,TR,ONLINE,SECURITIES,ADJACENT,REGULATED,0.45,0.31,0,0.46,NONE,0,0,0,0,0,0
NPA-000025,designed_low,,INSTITUTIONAL,FR,ONLINE,FIAT,EXISTING,NONE,0.24,0.01,0,0.04,NONE,0,0,0,0,0,0
NPA-000026,designed_medium,,HNW,GB,ONLINE,PHYSICAL,ADJACENT,REGULATED,0.46,0.34,0,0.35,ASSISTIVE,0,0,0,0,0,0
NPA-000027,hard_high,sanctions_geo,RETAIL,GB|MM,BRANCH,SECURITIES,ADJACENT,NONE,0.34,0.09,0,0.13,NONE,0,0,0,0,0,0
NPA-000028,designed_medium,,HNW,US,INTERMEDIATED,SECURITIES,ADJACENT,REGULATED,0.58,0.41,0,0.51,ASSISTIVE,0,0,0,0,0,0
NPA-000029,designed_low,,INSTITUTIONAL,FR,ONLINE,SECURITIES,EXISTING,REGULATED,0.25,0.12,0,0.11,NONE,0,0,0,0,0,0
NPA-000030,designed_medium,,HNW,DE,INTERMEDIATED,SECURITIES,ADJACENT,REGULATED,0.56,0.37,0,0.25,ASSISTIVE,0,0,0,0,0,0
NPA-000031,designed_medium,,HNW,TR,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.57,0.4,0,0.23,ASSISTIVE,0,0,0,0,0,0
NPA-000032,designed_high,,NON_RESIDENT,AE,INTERMEDIATED,DIGITAL_ASSET,ADJACENT,UNREGULATED,0.56,0.53,1,0.72,ASSISTIVE,0,0,0,0,0,0
NPA-000033,designed_low,,RETAIL,FR,BRANCH,SECURITIES,EXISTING,REGULATED,0.14,0.06,0,0.01,NONE,0,0,0,0,0,0
NPA-000034,designed_low,,RETAIL,GB,BRANCH,FIAT,EXISTING,REGULATED,0.03,0.12,0,0.18,NONE,0,0,0,0,0,0
NPA-000035,designed_low,,RETAIL,NZ,BRANCH,FIAT,EXISTING,NONE,0.01,0.11,0,0.07,NONE,0,0,0,0,0,0
NPA-000036,hard_high,da_custody_novelty,HNW,NZ,ONLINE,DIGITAL_ASSET,NEW_CAPABILITY,REGULATED,0.44,0.26,0,0.09,ASSISTIVE,1,0,0,0,0,0
NPA-000037,designed_low,,RETAIL,NZ,BRANCH,FIAT,EXISTING,NONE,0.08,0.13,0,0.19,NONE,0,0,0,0,0,0
NPA-000038,designed_low,,INSTITUTIONAL,FR,BRANCH,FIAT,EXISTING,NONE,0.22,0.04,0,0.12,NONE,0,0,0,0,0,0
NPA-000039,prohibited,anonymity_instrument,RETAIL,AU,ONLINE,DIGITAL_ASSET,ADJACENT,REGULATED,0.3,0.15,0,0.15,NONE,0,0,0,0,1,0
NPA-000040,designed_low,,INSTITUTIONAL,CA,ONLINE,FIAT,EXISTING,NONE,0.11,0.14,0,0.18,NONE,0,0,0,0,0,0
NPA-000041,designed_medium,,HNW,PA,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.39,0.24,0,0.24,ASSISTIVE,0,0,0,0,0,0
