address_id,top_category,exposure,hops,amount_fraction,via_breaker,direction,label,fp_category
0x3900a3b1799d,defi_bluechip,0.0,,0.257106,0,inbound,0,benign_category
0x2c838b9d2434,mixer,0.576645,1,0.895412,0,outbound,1,
0x70dd6b65a6a4,sanctioned_address,0.017994,5,0.107062,0,outbound,0,diluted_distant
0x8e45571aa876,sanctioned_address,0.010655,5,0.063395,0,inbound,0,diluted_distant
0xc1cfec1b8ca1,darknet_market,0.017267,5,0.108143,0,inbound,0,diluted_distant
0xc29f19db3ad0,mixer,0.003754,6,0.034679,0,outbound,0,diluted_distant
0x88b1ab9099a4,defi_bluechip,0.0,,0.761791,0,inbound,0,benign_category
0x75450e51f30d,sanctioned_address,0.0,3,0.426525,1,inbound,0,broken_intermediary
0x6cdd508ebad7,high_risk_exchange,0.145129,2,0.493637,0,outbound,0,ambiguous_residual
0x477d43cf2fde,ransomware,0.011019,1,0.01657,0,inbound,0,de_minimis
0xb957663f1c97,mining_pool,0.0,,0.864524,0,inbound,0,benign_category
0x3823dc713d96,ransomware,0.010207,5,0.06393,0,inbound,0,diluted_distant
0x05e0f143262f,darknet_market,0.009816,1,0.01476,0,inbound,0,de_minimis
0x391d5715bd6f,darknet_market,0.0,3,0.838487,1,outbound,0,broken_intermediary
0x5b78c30ff46e,mixer,0.0,3,0.40229,1,inbound,0,broken_intermediary
0x52b6c333e861,sanctioned_address,0.011905,1,0.017007,0,inbound,0,de_minimis
0x7a994eb93eff,sanctioned_address,0.003639,1,0.005199,0,inbound,0,de_minimis
0x4063c40db9b4,high_risk_exchange,0.124109,2,0.42214,0,inbound,0,ambiguous_residual
0xd8a59b49bd26,mixer,0.004112,6,0.037989,0,inbound,0,diluted_distant
0xe04e5f987c71,merchant_processor,0.0,,0.805908,0,outbound,0,benign_category
0x03ae38602ab6,licensed_exchange,0.0,,0.900872,0,inbound,0,benign_category
0x8e943ceddf2d,mining_pool,0.0,,0.874617,0,outbound,0,benign_category
0xd06aceb81f9d,darknet_market,0.006604,1,0.00993,0,inbound,0,de_minimis
0x1bbcbaa4b71a,sanctioned_address,0.007598,5,0.045206,0,inbound,0,diluted_distant
0xe5b0894a05e4,defi_bluechip,0.0,,0.755096,0,inbound,0,benign_category
0x32218ce21ea3,sanctioned_address,0.012296,1,0.017566,0,inbound,0,de_minimis
0x7906d9441fa5,ransomware,0.011062,1,0.016634,0,inbound,0,de_minimis
0xc2082a25a888,mining_pool,0.0,,0.559583,0,inbound,0,benign_category
0xf92cb7e99aca,licensed_exchange,0.0,,0.630543,0,inbound,0,benign_category
0x1d44504867ba,mixer,0.003089,1,0.004796,0,inbound,0,de_minimis
0x290482010c62,defi_bluechip,0.0,,0.412113,0,inbound,0,benign_category
