set_id,chain,native_tx_count_truth,token_transfer_count_truth,value_in_truth,value_out_truth,self_transfer_count_truth,counterparty_count_truth,native_tx_count_engine,token_transfer_count_engine,value_in_engine,value_out_engine,self_transfer_count_engine,counterparty_count_engine,duplicates_planted,duplicates_removed,exact
btc-0001,btc,94,0,12234355541,12842530416,0,9,94,0,12234355541,12842530416,0,9,0,0,True
btc-0006,btc,114,0,18521883216,13668781386,0,22,114,0,18521883216,13668781386,0,22,4,4,True
btc-0014,btc,164,0,19760563540,21352776699,0,22,164,0,19760563540,21352776699,0,22,0,0,True
btc-0015,btc,181,0,27132208270,20974550567,0,16,181,0,27132208270,20974550567,0,16,7,7,True
btc-0017,btc,79,0,13993424720,7599734118,0,7,79,0,13993424720,7599734118,0,7,0,0,True
btc-0018,btc,155,0,25835139139,17161849680,0,13,155,0,25835139139,17161849680,0,13,0,0,True
btc-0021,btc,87,0,10577584534,5975350126,0,20,87,0,10577584534,5975350126,0,20,0,0,True
btc-0024,btc,133,0,18399371292,17474174997,0,12,133,0,18399371292,17474174997,0,12,0,0,True
btc-0027,btc,112,0,14554985354,10467309746,0,20,112,0,14554985354,10467309746,0,20,0,0,True
btc-0028,btc,108,0,12119474842,10040346032,0,28,108,0,12119474842,10040346032,0,28,0,0,True
btc-0030,btc,162,0,21167268944,22203555998,0,14,162,0,21167268944,22203555998,0,14,6,6,True
btc-0031,btc,99,0,13998824166,12481540816,0,10,99,0,13998824166,12481540816,0,10,3,3,True
btc-0033,btc,178,0,20805609054,25754355216,0,15,178,0,20805609054,25754355216,0,15,0,0,True
btc-0037,btc,116,0,18148686984,17126288649,0,10,116,0,18148686984,17126288649,0,10,4,4,True
btc-0038,btc,157,0,17582724602,21316122398,1,31,157,0,17582724602,21316122398,1,31,0,0,True
btc-0041,btc,187,0,25409521542,19299608854,0,31,187,0,25409521542,19299608854,0,31,0,0,True
btc-0051,btc,127,0,19714742310,12861210969,0,11,127,0,19714742310,12861210969,0,11,0,0,True
btc-0057,btc,124,0,15700060097,12243213833,0,25,124,0,15700060097,12243213833,0,25,0,0,True
btc-0059,btc,204,0,27673937179,25010969288,2,33,204,0,27673937179,25010969288,2,33,0,0,True
btc-0062,btc,81,0,12292981490,8392290573,0,9,81,0,12292981490,8392290573,0,9,3,3,True
btc-0063,btc,183,0,22270021619,25317883469,0,16,183,0,22270021619,25317883469,0,16,0,0,True
