control,scenario,true_rate,confidence,tolerable_rate,expected_rate,n,c,achieved_risk,tested,deviations,udl,conclusion,rule
CTRL-000,clean,0.00363,0.95,0.04,0.0082,117,1,0.04929,117,0,0.025225,CONTROL_EFFECTIVE,UDL_WITHIN_TOLERABLE
CTRL-001,failing,0.10805,0.95,0.04,0.0128,156,2,0.048562,156,24,0.209375,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
CTRL-002,boundary,0.03793,0.95,0.04,0.0125,156,2,0.048562,156,3,0.048875,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
CTRL-003,planted,0.2721,0.95,0.04,0.0113,156,2,0.048562,156,42,0.333725,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
CTRL-004,clean,0.02045,0.95,0.1,0.0248,61,2,0.048999,61,3,0.122175,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
CTRL-005,failing,0.1066,0.95,0.04,0.0101,156,2,0.048562,156,22,0.1951,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
CTRL-006,boundary,0.04125,0.95,0.05,0.0122,124,2,0.049287,124,0,0.023825,CONTROL_EFFECTIVE,UDL_WITHIN_TOLERABLE
CTRL-007,planted,0.31252,0.95,0.04,0.0116,156,2,0.048562,156,48,0.37395,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
CTRL-008,clean,0.01082,0.95,0.1,0.0313,61,2,0.048999,61,1,0.075375,CONTROL_EFFECTIVE,UDL_WITHIN_TOLERABLE
CTRL-009,failing,0.15255,0.95,0.06,0.0201,127,3,0.049385,127,20,0.22045,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
CTRL-010,boundary,0.05318,0.95,0.06,0.0203,127,3,0.049385,127,7,0.10095,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
CTRL-011,planted,0.31895,0.95,0.08,0.0222,77,2,0.048399,77,23,0.3958,CONTROL_INEFFECTIVE,OVER_ACCEPTANCE
