method,confidence,tolerable_rate,expected_rate,n,c,achieved_risk
binomial,0.9,0.02,0.01,398,4,0.0996
binomial,0.9,0.04,0.01,96,1,0.0993
binomial,0.9,0.06,0.01,64,1,0.0969
binomial,0.9,0.08,0.01,48,1,0.0945
binomial,0.9,0.1,0.01,38,1,0.0953
binomial,0.95,0.02,0.01,590,6,0.0495
binomial,0.95,0.04,0.01,156,2,0.0489
binomial,0.95,0.06,0.01,78,1,0.0479
binomial,0.95,0.08,0.01,58,1,0.048
binomial,0.95,0.1,0.01,46,1,0.048
binomial,0.975,0.02,0.01,785,8,0.0248
binomial,0.975,0.04,0.01,178,2,0.025
binomial,0.975,0.06,0.01,91,1,0.0244
binomial,0.975,0.08,0.01,68,1,0.0238
binomial,0.975,0.1,0.01,54,1,0.0237
binomial,0.99,0.02,0.01,1070,11,0.0099
binomial,0.99,0.04,0.01,248,3,0.0099
binomial,0.99,0.06,0.01,137,2,0.0099
binomial,0.99,0.08,0.01,81,1,0.0094
binomial,0.99,0.1,0.01,64,1,0.0096
hypergeometric,0.9,0.02,0.01,397,4,0.0996
hypergeometric,0.9,0.04,0.01,96,1,0.099
hypergeometric,0.9,0.06,0.01,64,1,0.0968
hypergeometric,0.9,0.08,0.01,48,1,0.0944
hypergeometric,0.9,0.1,0.01,38,1,0.0952
hypergeometric,0.95,0.02,0.01,588,6,0.0495
hypergeometric,0.95,0.04,0.01,156,2,0.0486
hypergeometric,0.95,0.06,0.01,78,1,0.0478
hypergeometric,0.95,0.08,0.01,58,1,0.0479
hypergeometric,0.95,0.1,0.01,46,1,0.0479
hypergeometric,0.975,0.02,0.01,781,8,0.0249
hypergeometric,0.975,0.04,0.01,178,2,0.0248
hypergeometric,0.975,0.06,0.01,91,1,0.0243
hypergeometric,0.975,0.08,0.01,68,1,0.0238
hypergeometric,0.975,0.1,0.01,54,1,0.0236
hypergeometric,0.99,0.02,0.01,996,10,0.01
hypergeometric,0.99,0.04,0.01,248,3,0.0097
hypergeometric,0.99,0.06,0.01,137,2,0.0098
hypergeometric,0.99,0.08,0.01,81,1,0.0093
hypergeometric,0.99,0.1,0.01,64,1,0.0095
