control,selection_seed,item_id,stratum
CTRL-000,42:main:0,CTRL-000-I000084,commercial
CTRL-000,42:main:0,CTRL-000-I000121,commercial
CTRL-000,42:main:0,CTRL-000-I002235,commercial
CTRL-000,42:main:0,CTRL-000-I002321,commercial
CTRL-000,42:main:0,CTRL-000-I004813,commercial
CTRL-000,42:main:0,CTRL-000-I009957,commercial
CTRL-000,42:main:0,CTRL-000-I010143,commercial
CTRL-000,42:main:0,CTRL-000-I010802,commercial
CTRL-000,42:main:0,CTRL-000-I012710,commercial
CTRL-000,42:main:0,CTRL-000-I016550,commercial
CTRL-000,42:main:0,CTRL-000-I017239,commercial
CTRL-000,42:main:0,CTRL-000-I020092,commercial
CTRL-000,42:main:0,CTRL-000-I020119,commercial
CTRL-000,42:main:0,CTRL-000-I020225,commercial
CTRL-000,42:main:0,CTRL-000-I020916,commercial
CTRL-000,42:main:0,CTRL-000-I021141,commercial
CTRL-000,42:main:0,CTRL-000-I021403,commercial
CTRL-000,42:main:0,CTRL-000-I023166,commercial
CTRL-000,42:main:0,CTRL-000-I023360,commercial
CTRL-000,42:main:0,CTRL-000-I025265,commercial
CTRL-000,42:main:0,CTRL-000-I025305,commercial
CTRL-000,42:main:0,CTRL-000-I025309,commercial
CTRL-000,42:main:0,CTRL-000-I027247,commercial
CTRL-000,42:main:0,CTRL-000-I027255,commercial
CTRL-000,42:main:0,CTRL-000-I027540,commercial
CTRL-000,42:main:0,CTRL-000-I028115,commercial
CTRL-000,42:main:0,CTRL-000-I030993,commercial
CTRL-000,42:main:0,CTRL-000-I033333,commercial
CTRL-000,42:main:0,CTRL-000-I034026,commercial
CTRL-000,42:main:0,CTRL-000-I034520,commercial
CTRL-000,42:main:0,CTRL-000-I035524,commercial
CTRL-000,42:main:0,CTRL-000-I036794,commercial
CTRL-000,42:main:0,CTRL-000-I039753,commercial
CTRL-000,42:main:0,CTRL-000-I039823,commercial
CTRL-000,42:main:0,CTRL-000-I000869,digital-channel
CTRL-000,42:main:0,CTRL-000-I001747,digital-channel
CTRL-000,42:main:0,CTRL-000-I002275,digital-channel
CTRL-000,42:main:0,CTRL-000-I002864,digital-channel
CTRL-000,42:main:0,CTRL-000-I004056,digital-channel
CTRL-000,42:main:0,CTRL-000-I004600,digital-channel
CTRL-000,42:main:0,CTRL-000-I006197,digital-channel
CTRL-000,42:main:0,CTRL-000-I006684,digital-channel
CTRL-000,42:main:0,CTRL-000-I007029,digital-channel
CTRL-000,42:main:0,CTRL-000-I007992,digital-channel
CTRL-000,42:main:0,CTRL-000-I008188,digital-channel
CTRL-000,42:main:0,CTRL-000-I012255,digital-channel
CTRL-000,42:main:0,CTRL-000-I012582,digital-channel
CTRL-000,42:main:0,CTRL-000-I015001,digital-channel
CTRL-000,42:main:0,CTRL-000-I016348,digital-channel
CTRL-000,42:main:0,CTRL-000-I016538,digital-channel
CTRL-000,42:main:0,CTRL-000-I017156,digital-channel
CTRL-000,42:main:0,CTRL-000-I020893,digital-channel
CTRL-000,42:main:0,CTRL-000-I021277,digital-channel
CTRL-000,42:main:0,CTRL-000-I021704,digital-channel
CTRL-000,42:main:0,CTRL-000-I022022,digital-channel
