method,n,k,confidence,udl_primary,udl_bruteforce,abs_divergence
binomial,25,0,0.9,0.0879891606,0.0879891606,2.776e-17
binomial,25,0,0.95,0.112928145,0.112928145,2.776e-17
binomial,25,0,0.99,0.1682362289,0.1682362289,2.776e-17
binomial,25,1,0.9,0.1468671961,0.1468671961,3.331e-16
binomial,25,1,0.95,0.1761207106,0.1761207106,3.331e-16
binomial,25,1,0.99,0.2374860617,0.2374860617,3.331e-16
binomial,25,2,0.9,0.1991350943,0.1991350943,5.551e-16
binomial,25,2,0.95,0.231039934,0.231039934,5.551e-16
binomial,25,2,0.99,0.2959301391,0.2959301391,4.996e-16
binomial,25,5,0.9,0.3396588677,0.3396588677,4.441e-16
binomial,25,5,0.95,0.3754051351,0.3754051351,3.331e-16
binomial,25,5,0.99,0.4442740857,0.4442740857,3.331e-16
binomial,25,10,0.9,0.5477173319,0.5477173319,4.441e-16
binomial,25,10,0.95,0.583161963,0.583161963,3.331e-16
binomial,25,10,0.99,0.6475636907,0.6475636907,2.220e-16
binomial,60,0,0.9,0.0376493736,0.0376493736,1.388e-17
binomial,60,0,0.95,0.0487029133,0.0487029133,2.082e-17
binomial,60,0,0.99,0.0738812719,0.0738812719,4.163e-17
binomial,60,1,0.9,0.0632873834,0.0632873834,7.078e-16
binomial,60,1,0.95,0.0766399949,0.0766399949,7.494e-16
binomial,60,1,0.99,0.1055815954,0.1055815954,6.939e-16
binomial,60,2,0.9,0.0862780422,0.0862780422,1.069e-15
binomial,60,2,0.95,0.1012358949,0.1012358949,1.069e-15
binomial,60,2,0.99,0.1328263242,0.1328263242,9.437e-16
binomial,60,5,0.9,0.1491031456,0.1491031456,8.882e-16
binomial,60,5,0.95,0.1672630764,0.1672630764,8.327e-16
binomial,60,5,0.99,0.2040851175,0.2040851175,6.939e-16
binomial,60,10,0.9,0.2451113383,0.2451113383,9.992e-16
binomial,60,10,0.95,0.2662907984,0.2662907984,7.772e-16
binomial,60,10,0.99,0.3078137479,0.3078137479,7.772e-16
binomial,124,0,0.9,0.0183978886,0.0183978886,3.469e-17
binomial,124,0,0.95,0.0238696354,0.0238696354,3.469e-18
binomial,124,0,0.99,0.0364572949,0.0364572949,2.776e-17
binomial,124,1,0.9,0.0310054609,0.0310054609,1.735e-16
binomial,124,1,0.95,0.0376842609,0.0376842609,2.012e-16
binomial,124,1,0.99,0.0523340895,0.0523340895,1.457e-16
binomial,124,2,0.9,0.0423501981,0.0423501981,3.886e-16
binomial,124,2,0.95,0.0499001712,0.0499001712,3.955e-16
binomial,124,2,0.99,0.0660624465,0.0660624465,3.192e-16
binomial,124,5,0.9,0.0735102565,0.0735102565,2.637e-16
binomial,124,5,0.95,0.0829088671,0.0829088671,2.220e-16
binomial,124,5,0.99,0.1023000376,0.1023000376,1.804e-16
binomial,124,10,0.9,0.1215287676,0.1215287676,1.527e-16
binomial,124,10,0.95,0.1329523099,0.1329523099,1.110e-16
binomial,124,10,0.99,0.1558654517,0.1558654517,2.776e-17
binomial,200,0,0.9,0.0114469053,0.0114469053,3.643e-17
binomial,200,0,0.95,0.0148670392,0.0148670392,2.602e-17
binomial,200,0,0.99,0.022762779,0.022762779,4.163e-17
