control_id,item_id,stratum,is_deviation
CTRL-000,CTRL-000-I000000,commercial,0
CTRL-000,CTRL-000-I000001,digital-channel,0
CTRL-000,CTRL-000-I000002,commercial,0
CTRL-000,CTRL-000-I000003,commercial,0
CTRL-000,CTRL-000-I000004,private-client,0
CTRL-000,CTRL-000-I000005,digital-channel,0
CTRL-000,CTRL-000-I000006,commercial,0
CTRL-000,CTRL-000-I000007,digital-channel,0
CTRL-000,CTRL-000-I000008,retail-branch,0
CTRL-000,CTRL-000-I000009,commercial,0
CTRL-000,CTRL-000-I000010,retail-branch,0
CTRL-000,CTRL-000-I000011,private-client,0
CTRL-000,CTRL-000-I000012,digital-channel,0
CTRL-000,CTRL-000-I000013,commercial,0
CTRL-000,CTRL-000-I000014,retail-branch,0
CTRL-000,CTRL-000-I000015,digital-channel,0
CTRL-000,CTRL-000-I000016,commercial,0
CTRL-000,CTRL-000-I000017,commercial,0
CTRL-000,CTRL-000-I000018,retail-branch,0
CTRL-000,CTRL-000-I000019,digital-channel,0
CTRL-000,CTRL-000-I000020,retail-branch,0
CTRL-000,CTRL-000-I000021,private-client,0
CTRL-000,CTRL-000-I000022,digital-channel,0
CTRL-000,CTRL-000-I000023,retail-branch,0
CTRL-000,CTRL-000-I000024,digital-channel,0
CTRL-000,CTRL-000-I000025,digital-channel,0
CTRL-000,CTRL-000-I000026,retail-branch,0
CTRL-000,CTRL-000-I000027,digital-channel,0
CTRL-000,CTRL-000-I000028,retail-branch,0
CTRL-000,CTRL-000-I000029,digital-channel,0
CTRL-000,CTRL-000-I000030,private-client,0
CTRL-000,CTRL-000-I000031,commercial,0
CTRL-000,CTRL-000-I000032,commercial,0
CTRL-000,CTRL-000-I000033,digital-channel,0
CTRL-000,CTRL-000-I000034,commercial,0
CTRL-000,CTRL-000-I000035,commercial,0
CTRL-000,CTRL-000-I000036,commercial,0
CTRL-000,CTRL-000-I000037,commercial,0
CTRL-000,CTRL-000-I000038,private-client,0
CTRL-000,CTRL-000-I000039,digital-channel,0
CTRL-000,CTRL-000-I000040,digital-channel,0
CTRL-000,CTRL-000-I000041,commercial,0
CTRL-000,CTRL-000-I000042,commercial,0
CTRL-000,CTRL-000-I000043,retail-branch,0
CTRL-000,CTRL-000-I000044,private-client,0
CTRL-000,CTRL-000-I000045,digital-channel,0
CTRL-000,CTRL-000-I000046,commercial,0
CTRL-000,CTRL-000-I000047,private-client,0
CTRL-000,CTRL-000-I000048,commercial,0
CTRL-000,CTRL-000-I000049,digital-channel,0
CTRL-000,CTRL-000-I000050,retail-branch,0
CTRL-000,CTRL-000-I000051,private-client,0
CTRL-000,CTRL-000-I000052,digital-channel,0
CTRL-000,CTRL-000-I000053,private-client,0
CTRL-000,CTRL-000-I000054,retail-branch,0
CTRL-000,CTRL-000-I000055,retail-branch,0
CTRL-000,CTRL-000-I000056,commercial,0
CTRL-000,CTRL-000-I000057,commercial,0
CTRL-000,CTRL-000-I000058,digital-channel,0
CTRL-000,CTRL-000-I000059,commercial,0
CTRL-000,CTRL-000-I000060,commercial,0
CTRL-000,CTRL-000-I000061,retail-branch,0
CTRL-000,CTRL-000-I000062,retail-branch,0
CTRL-000,CTRL-000-I000063,digital-channel,0
CTRL-000,CTRL-000-I000064,private-client,0
CTRL-000,CTRL-000-I000065,digital-channel,0
CTRL-000,CTRL-000-I000066,retail-branch,0
CTRL-000,CTRL-000-I000067,digital-channel,0
CTRL-000,CTRL-000-I000068,commercial,0
CTRL-000,CTRL-000-I000069,commercial,0
CTRL-000,CTRL-000-I000070,digital-channel,0
CTRL-000,CTRL-000-I000071,commercial,0
CTRL-000,CTRL-000-I000072,digital-channel,0
CTRL-000,CTRL-000-I000073,retail-branch,0
CTRL-000,CTRL-000-I000074,digital-channel,0
CTRL-000,CTRL-000-I000075,commercial,0
CTRL-000,CTRL-000-I000076,retail-branch,0
CTRL-000,CTRL-000-I000077,digital-channel,0
CTRL-000,CTRL-000-I000078,commercial,0
CTRL-000,CTRL-000-I000079,commercial,0
CTRL-000,CTRL-000-I000080,commercial,0
CTRL-000,CTRL-000-I000081,digital-channel,0
CTRL-000,CTRL-000-I000082,retail-branch,0
CTRL-000,CTRL-000-I000083,digital-channel,0
CTRL-000,CTRL-000-I000084,commercial,0
CTRL-000,CTRL-000-I000085,digital-channel,0
CTRL-000,CTRL-000-I000086,retail-branch,0
CTRL-000,CTRL-000-I000087,digital-channel,0
CTRL-000,CTRL-000-I000088,retail-branch,0
CTRL-000,CTRL-000-I000089,retail-branch,0
CTRL-000,CTRL-000-I000090,commercial,0
CTRL-000,CTRL-000-I000091,private-client,0
CTRL-000,CTRL-000-I000092,private-client,0
CTRL-000,CTRL-000-I000093,digital-channel,0
CTRL-000,CTRL-000-I000094,commercial,0
CTRL-000,CTRL-000-I000095,private-client,0
CTRL-000,CTRL-000-I000096,commercial,0
CTRL-000,CTRL-000-I000097,digital-channel,0
CTRL-000,CTRL-000-I000098,digital-channel,0
CTRL-000,CTRL-000-I000099,retail-branch,0
