threshold,alert_volume,productivity,detection_rate,btl_missed
0.0,40000,0.0435,1.0,0
2.6864999999999997,36443,0.0477,1.0,0
5.372999999999999,34945,0.0498,1.0,0
8.0595,33162,0.0524,1.0,0
10.745999999999999,30917,0.0562,1.0,0
13.432499999999997,28413,0.0612,1.0,0
16.119,25670,0.0677,1.0,0
18.8055,22688,0.0766,1.0,0
21.491999999999997,19638,0.0886,1.0,0
24.178499999999996,16581,0.1048,0.9994,1
26.864999999999995,13724,0.1266,0.9988,2
29.551499999999997,11106,0.1563,0.9983,3
32.238,8920,0.1942,0.996,7
34.924499999999995,7047,0.2441,0.9891,19
37.611,5487,0.3126,0.9862,24
40.29749999999999,4299,0.3931,0.9718,49
42.983999999999995,3375,0.4859,0.9431,99
45.6705,2729,0.5852,0.9183,142
48.35699999999999,2268,0.6808,0.8879,195
51.043499999999995,1931,0.7613,0.8453,269
53.72999999999999,1636,0.8295,0.7803,382
56.41649999999999,1394,0.8902,0.7136,498
59.102999999999994,1210,0.9314,0.6481,612
61.78949999999999,1038,0.9576,0.5716,745
64.476,876,0.9749,0.4911,885
67.1625,735,0.9837,0.4158,1016
69.84899999999999,603,0.9917,0.3439,1141
72.53549999999998,484,0.9979,0.2777,1256
75.222,371,0.9973,0.2128,1369
77.90849999999999,279,0.9964,0.1599,1461
80.59499999999998,189,0.9947,0.1081,1551
83.2815,125,0.992,0.0713,1615
85.96799999999999,84,1.0,0.0483,1655
88.65449999999998,58,1.0,0.0334,1681
91.341,26,1.0,0.015,1713
94.02749999999999,13,1.0,0.0075,1726
96.71399999999998,8,1.0,0.0046,1731
99.4005,7,1.0,0.004,1732
102.08699999999999,5,1.0,0.0029,1734
104.77349999999998,3,1.0,0.0017,1736
107.45999999999998,1,1.0,0.0006,1738
