rule,scenario,action,current_threshold,recommended_threshold,current_detection,recommended_detection,current_volume,recommended_volume
RULE-000,too_high,LOWER,65.9,40.29749999999999,0.4514,0.9718,800,4299
RULE-001,too_high,LOWER,52.55,27.9495,0.6554,0.9619,3853,19835
RULE-002,optimal,KEEP,49.9,49.9,0.9506,0.9506,5021,5021
RULE-003,too_high,LOWER,63.18,41.1375,0.544,0.9597,1169,8729
RULE-004,too_high,LOWER,50.47,31.9275,0.7157,0.9515,5511,18703
RULE-005,too_high,LOWER,66.14,46.7775,0.722,0.9604,1386,5384
RULE-006,too_high,LOWER,51.66,38.37,0.714,0.9543,1595,4640
RULE-007,too_low,RAISE,27.73,46.112500000000004,0.9995,0.9647,20459,6260
RULE-008,too_low,RAISE,25.4,50.1165,1.0,0.9628,15776,1875
RULE-009,too_low,RAISE,29.83,48.773,1.0,0.9684,24142,4968
RULE-010,too_low,RAISE,10.91,31.5645,0.9994,0.9549,35816,20606
RULE-011,too_low,RAISE,26.4,47.4,1.0,0.9589,25776,6991
