alert_id,customer_id,window_days,total_in,total_out,txn_count,near_threshold_count,distinct_in_cp,distinct_out_cp,passthrough_ratio,same_day,high_risk_geo_fraction,label,category
TMALR-0000000,CUST-000027,30,295675.21,197116.81,73,0,1,1,0.0,0,0.87,0,documented_context
TMALR-0000001,CUST-000054,30,33216.35,27177.01,39,0,1,1,0.78,1,0.0,0,below_typology
TMALR-0000002,CUST-000077,30,10049.62,6699.74,27,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000003,CUST-000000,30,87986.29,36497.13,40,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000004,CUST-000036,30,77083.14,64979.57,7,0,1,1,0.84,1,0.0,1,
TMALR-0000005,CUST-000077,30,14386.49,9590.99,28,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000006,CUST-000019,30,128220.01,43199.56,46,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000007,CUST-000095,30,11765.64,3389.28,10,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000008,CUST-000051,30,13691.31,7367.65,13,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000009,CUST-000055,30,306843.79,143658.99,72,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000010,CUST-000119,30,333808.29,222538.86,184,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000011,CUST-000005,30,17120.89,13863.94,8,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000012,CUST-000074,30,103568.9,35585.46,99,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000013,CUST-000041,30,13272.26,8848.17,39,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000014,CUST-000104,30,6363818.31,6000820.89,265,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000015,CUST-000098,30,17145.27,9055.56,25,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000016,CUST-000052,30,183892.46,150457.47,69,0,1,1,0.74,1,0.0,0,below_typology
TMALR-0000017,CUST-000026,30,1552289.62,1034859.75,736,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000018,CUST-000003,30,539993.46,0.0,46,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000019,CUST-000052,30,101455.33,25733.13,56,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000020,CUST-000106,30,1020219.75,288096.6,101,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000021,CUST-000061,30,3153975.12,2580525.1,158,0,1,1,0.63,1,0.0,0,below_typology
TMALR-0000022,CUST-000095,30,19247.87,12831.91,20,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000023,CUST-000105,30,24563.22,20097.18,32,0,1,1,0.71,1,0.0,0,below_typology
TMALR-0000024,CUST-000057,30,101932.93,57824.14,65,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000025,CUST-000041,30,23844.65,0.0,41,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000026,CUST-000003,30,185814.86,123876.58,145,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000027,CUST-000101,30,1102083.13,132982.96,89,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000028,CUST-000064,30,194870.26,180763.69,7,0,5,2,0.0,0,0.0,1,
TMALR-0000029,CUST-000083,30,47599.95,31733.3,18,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000030,CUST-000109,30,40616.1,16313.13,58,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000031,CUST-000062,30,104198.42,98380.5,34,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000032,CUST-000029,30,852167.91,412948.4,72,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000033,CUST-000056,30,43357.1,26597.81,18,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000034,CUST-000045,30,7331.94,6154.05,19,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000035,CUST-000021,30,164819.86,109879.9,118,0,1,1,0.0,0,0.68,0,documented_context
TMALR-0000036,CUST-000074,30,168697.93,112465.29,115,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000037,CUST-000059,30,1263235.21,375107.91,166,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000038,CUST-000075,30,5605.36,1502.55,16,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000039,CUST-000049,30,2195476.75,1931390.42,169,0,1,1,0.0,0,0.0,0,within_profile
