customer_id,segment,risk_rating,expected_amount,expected_count,home_country,business_type
CUST-000000,SMB,LOW,140506.45,44,GB,cash_intensive
CUST-000001,SMB,MEDIUM,99126.54,57,US,
CUST-000002,RETAIL,LOW,8849.15,14,AE,import_export
CUST-000003,SMB,LOW,209638.45,30,GB,cash_intensive
CUST-000004,RETAIL,LOW,38630.82,18,US,
CUST-000005,RETAIL,MEDIUM,27319.23,9,AE,
CUST-000006,RETAIL,HIGH,10521.61,17,AE,import_export
CUST-000007,CORPORATE,LOW,3818287.34,71,AE,
CUST-000008,RETAIL,LOW,15449.31,11,CA,
CUST-000009,SMB,LOW,161439.81,43,AE,
CUST-000010,MSB,LOW,726391.7,187,SG,cash_intensive
CUST-000011,RETAIL,LOW,39664.75,25,GB,cash_intensive
CUST-000012,CORPORATE,MEDIUM,1916192.29,68,DE,
CUST-000013,RETAIL,MEDIUM,26149.76,18,GB,import_export
CUST-000014,RETAIL,MEDIUM,22683.26,16,GB,
CUST-000015,SMB,LOW,208608.92,67,CA,
CUST-000016,MSB,LOW,645461.08,124,US,
CUST-000017,RETAIL,LOW,27085.09,20,CA,import_export
CUST-000018,RETAIL,LOW,25703.23,8,AE,cash_intensive
CUST-000019,SMB,LOW,138701.54,71,DE,
CUST-000020,RETAIL,LOW,38522.11,16,SG,cash_intensive
CUST-000021,SMB,LOW,217566.04,70,SG,import_export
CUST-000022,RETAIL,MEDIUM,25260.13,24,US,import_export
CUST-000023,RETAIL,LOW,19615.38,17,GB,
CUST-000024,CORPORATE,HIGH,1342613.81,184,US,payroll
CUST-000025,SMB,LOW,225145.18,65,GB,
CUST-000026,CORPORATE,LOW,1847192.82,198,AE,cash_intensive
CUST-000027,SMB,LOW,227771.13,53,CA,remittance
CUST-000028,RETAIL,LOW,10048.83,8,SG,import_export
CUST-000029,SMB,LOW,235725.01,33,GB,
CUST-000030,RETAIL,LOW,24453.0,16,AE,
CUST-000031,SMB,MEDIUM,274124.28,66,CA,
CUST-000032,RETAIL,LOW,11018.43,21,DE,
CUST-000033,RETAIL,MEDIUM,29547.67,11,US,
CUST-000034,RETAIL,MEDIUM,15957.0,14,SG,
CUST-000035,RETAIL,LOW,15993.81,10,CA,remittance
CUST-000036,CORPORATE,LOW,3608579.58,198,US,payroll
CUST-000037,MSB,MEDIUM,416417.78,348,CA,
CUST-000038,RETAIL,LOW,20127.14,20,DE,payroll
CUST-000039,SMB,LOW,233250.13,76,SG,import_export
CUST-000040,RETAIL,LOW,14966.43,9,SG,cash_intensive
CUST-000041,RETAIL,LOW,9604.55,23,SG,payroll
CUST-000042,SMB,LOW,191722.27,41,US,import_export
CUST-000043,SMB,LOW,106375.06,66,GB,import_export
CUST-000044,RETAIL,LOW,29035.94,24,DE,payroll
CUST-000045,RETAIL,MEDIUM,15637.95,20,GB,import_export
CUST-000046,RETAIL,LOW,32059.66,10,US,
CUST-000047,MSB,HIGH,351282.5,209,SG,
CUST-000048,MSB,MEDIUM,915489.17,289,DE,
CUST-000049,CORPORATE,MEDIUM,3446711.06,195,US,import_export
CUST-000050,SMB,HIGH,102789.03,38,DE,
CUST-000051,RETAIL,LOW,16715.14,14,AE,
CUST-000052,SMB,MEDIUM,191189.99,46,US,
CUST-000053,RETAIL,LOW,8113.46,12,AE,payroll
CUST-000054,RETAIL,LOW,30581.36,25,US,
CUST-000055,MSB,LOW,404338.0,118,DE,import_export
CUST-000056,RETAIL,LOW,17864.27,9,DE,
CUST-000057,RETAIL,LOW,32963.72,21,SG,cash_intensive
CUST-000058,MSB,LOW,413751.24,190,CA,
CUST-000059,SMB,LOW,284779.49,72,AE,remittance
CUST-000060,RETAIL,MEDIUM,11459.06,9,CA,
CUST-000061,CORPORATE,LOW,2220763.47,118,GB,
CUST-000062,RETAIL,LOW,35659.29,16,DE,import_export
CUST-000063,RETAIL,HIGH,25158.9,8,US,remittance
CUST-000064,RETAIL,LOW,39473.62,9,US,import_export
CUST-000065,RETAIL,MEDIUM,21964.6,24,US,
CUST-000066,SMB,LOW,235932.76,30,SG,payroll
CUST-000067,SMB,MEDIUM,243229.02,72,GB,
CUST-000068,RETAIL,LOW,18566.4,18,AE,remittance
CUST-000069,SMB,LOW,148042.63,56,DE,
CUST-000070,RETAIL,LOW,21454.28,20,AE,cash_intensive
CUST-000071,RETAIL,LOW,20994.41,8,DE,
CUST-000072,RETAIL,LOW,28950.58,22,CA,
CUST-000073,RETAIL,LOW,36837.79,13,AE,
CUST-000074,SMB,LOW,153741.42,78,GB,import_export
CUST-000075,RETAIL,LOW,8781.61,15,CA,import_export
CUST-000076,SMB,LOW,274950.12,66,GB,cash_intensive
CUST-000077,RETAIL,LOW,12722.28,8,US,cash_intensive
CUST-000078,RETAIL,MEDIUM,30269.18,22,US,import_export
CUST-000079,CORPORATE,LOW,1533356.42,178,AE,
CUST-000080,SMB,LOW,246155.0,58,SG,remittance
CUST-000081,CORPORATE,LOW,4627418.92,174,GB,cash_intensive
CUST-000082,RETAIL,LOW,15911.67,16,SG,
CUST-000083,RETAIL,LOW,30833.44,15,DE,
CUST-000084,CORPORATE,LOW,1603322.63,158,AE,
CUST-000085,RETAIL,LOW,18588.2,22,CA,
CUST-000086,CORPORATE,LOW,4079183.09,65,SG,
CUST-000087,RETAIL,LOW,32111.2,21,SG,cash_intensive
CUST-000088,SMB,LOW,128518.51,44,DE,
CUST-000089,RETAIL,LOW,29732.54,20,AE,
CUST-000090,RETAIL,LOW,27912.22,8,CA,import_export
CUST-000091,SMB,LOW,174294.81,59,GB,
CUST-000092,RETAIL,LOW,18459.07,20,DE,cash_intensive
CUST-000093,CORPORATE,LOW,1327624.93,64,AE,
CUST-000094,MSB,LOW,755100.87,120,US,payroll
CUST-000095,RETAIL,LOW,12876.24,12,CA,import_export
CUST-000096,SMB,LOW,233882.29,79,DE,
CUST-000097,SMB,MEDIUM,105197.23,40,DE,
CUST-000098,RETAIL,LOW,29675.11,20,CA,payroll
CUST-000099,RETAIL,LOW,34578.29,15,US,cash_intensive
CUST-000100,RETAIL,LOW,33776.89,9,DE,
CUST-000101,SMB,LOW,222459.52,30,CA,remittance
CUST-000102,RETAIL,HIGH,28338.72,22,AE,
CUST-000103,RETAIL,LOW,28814.64,25,CA,
CUST-000104,CORPORATE,LOW,2289218.33,122,US,
CUST-000105,RETAIL,MEDIUM,26235.19,20,DE,
CUST-000106,CORPORATE,LOW,1848479.4,126,DE,
CUST-000107,SMB,MEDIUM,202274.03,63,GB,
CUST-000108,SMB,LOW,246796.22,74,CA,import_export
CUST-000109,RETAIL,MEDIUM,10977.71,15,CA,cash_intensive
CUST-000110,RETAIL,LOW,23144.34,24,DE,
CUST-000111,SMB,LOW,234628.09,47,DE,
CUST-000112,RETAIL,LOW,11825.75,25,AE,
CUST-000113,RETAIL,LOW,31186.72,24,SG,
CUST-000114,RETAIL,LOW,15279.46,13,DE,
CUST-000115,SMB,LOW,294344.88,65,DE,cash_intensive
CUST-000116,RETAIL,MEDIUM,23708.12,8,SG,
CUST-000117,RETAIL,LOW,38895.92,16,CA,
CUST-000118,RETAIL,LOW,26464.68,9,GB,
CUST-000119,SMB,LOW,298661.99,37,SG,cash_intensive
